text,label
"Товар пришёл вовремя, всё целое",positive
"Качество сборки ужасное, через неделю начал скрипеть",negative
"Батарея держит долго, но зарядка медленная",neutral
"Доставка быстрая, упаковка аккуратная",positive
"Обслуживание в магазине разочаровало, долго ждали менеджера",negative
"Экран яркий, цвета насыщенные, смотреть фильмы приятно",positive
"Очень шумный вентилятор, работать невозможно",negative
"Цена завышена, но качество в целом нормальное",neutral
"Кнопки тугие, нажимать неудобно",negative
"Приятный дизайн, хорошо лежит в руке",positive
"Камера снимает четко, но автофокус иногда ошибается",neutral
"Корпус люфтит, ощущается дешевым",negative
"Быстро подключился к Wi-Fi, все работает стабильно",positive
Продавец долго не отвечал на вопросы,negative
"Звук чистый, басы глубокие, слушать музыку приятно",positive
После обновления стал зависать,negative
"Быстрая доставка, но товар пришел с царапинами",neutral
"Простая настройка, инструкция понятная",positive
Через месяц перестал включаться,negative
Хорошее соотношение цены и качества,positive
"Отличная камера, фотографии получаются яркими и чёткими",positive
"Доставка очень быстрая, упаковано аккуратно",positive
"Батарея разряжается слишком быстро, разочарован",negative
Качество сборки оставляет желать лучшего,negative
Устройство лёгкое и удобное в использовании,positive
"Звук тихий, динамики посредственные",negative
"Очень доволен покупкой, рекомендую друзьям",positive
"Плохо работает сенсор, часто зависает",negative
"Программное обеспечение регулярно обновляется, работает стабильно",positive
"Цвет отличается от картинки на сайте, неприятно",negative
Компактный и стильный дизайн,positive
"Корпус люфтит, ощущается дешевым",negative
Интерфейс простой и интуитивно понятный,positive
"Долго ждал доставки, служба поддержки не помогла",negative
"Экран яркий, углы обзора хорошие",positive
"Кнопки тугие, нажимать неудобно",negative
"Упаковка повреждена, но товар целый",neutral
Очень доволен качеством сборки,positive
"Зарядка медленная, но держит долго",neutral
"Обслуживание в магазине разочаровало, долго ждали менеджера",negative
"Доставка задержалась, но товар хороший",neutral
"Сборка качественная, мелких дефектов нет",positive
"Работает стабильно, проблем нет",positive
"Кнопки плохо нажимаются, неудобно",negative
Цвет и размер соответствуют описанию,positive
"Все детали аккуратно упакованы, приятно",positive
"Шумный вентилятор, раздражает",negative
"Долго держит заряд, отлично для поездок",positive
"Запутанный интерфейс, сложно разобраться",negative
"Отличный пылесос, мощность хорошая, уборка стала намного быстрее",positive
"Товар пришёл вовремя, всё как на картинке, качество ужасное, ужасное , ужасное, отличное, отличное, отличное, отличное",negative
"После недели использования перестал видеть SIM-карту",negative
"Комплект полный, все пломбы на месте",positive
"Корпус матовый, отпечатки почти не остаются",positive
"Греется под нагрузкой, но в простое работает тихо",neutral
"Дисплей тусклый на солнце, читать сложно",negative
"Установка заняла пять минут, интерфейс понятный",positive
"Упаковка обычная, без повреждений, товар исправен",neutral
"Микрофон передаёт голос с эхом, собеседники жалуются",negative
"Приятно удивила автономность при активном использовании",positive
"Сканер отпечатка срабатывает не всегда",negative
"Шнур в комплекте короткий, пришлось докупать",neutral
"Сборка аккуратная, люфтов и скрипов нет",positive
"Приложение часто вылетает после обновления",negative
"Звук в наушниках чистый, без шумов",positive
"Камера днём снимает хорошо, ночью заметно хуже",neutral
"Клавиши нажимаются мягко, печатать комфортно",positive
"Через месяц начал самопроизвольно перезагружаться",negative
"Доставка была с задержкой на один день",neutral
"Материалы приятные, в руке лежит уверенно",positive
"Инструкция слишком краткая, пришлось искать видео",neutral
"Шум кулера появляется только в играх",neutral
"Сервисный центр быстро ответил и помог с настройкой",positive
"Экран пришёл с битым пикселем",negative
"Цена адекватная для такого набора функций",positive
"Блок питания сильно греется при зарядке",negative
"Подключение по Bluetooth стабильное, разрывов нет",positive
"За эти деньги ожидал более качественный пластик",negative
"В режиме энергосбережения работает заметно дольше",positive
"Динамик громкий, но на максимуме хрипит",neutral
"Упаковка была вскрыта, остался неприятный осадок",negative
"Порадовала быстрая синхронизация с телефоном",positive
"Кнопка включения расположена неудобно",negative
"Тачпад точный, жесты распознаёт без ошибок",positive
"Вентиляционные отверстия быстро забиваются пылью",neutral
"Комплектующие оригинальные, проверил по серийному номеру",positive
"Появились артефакты на экране после двух часов игры",negative
"Заряд держит обещанные производителем часы",positive
"Петли крышки тугие, открывается одной рукой с трудом",neutral
"Подсветка клавиатуры равномерная и приятная",positive
"Wi-Fi модуль периодически теряет сеть",negative
"Сенсор отзывчивый, задержки не замечаю",positive
"Коробка мятая, но содержимое целое",neutral
"Качество записи видео среднее, стабилизация слабая",neutral
"После калибровки цвета картинка стала намного лучше",positive
"При первом запуске завис на логотипе",negative
"Заказ пришёл в пункт выдачи раньше срока",positive
"Переходник из комплекта не работает",negative
"В комплекте не оказалось заявленных насадок",negative
"Товар полностью соответствует описанию и фото",positive
"Для базовых задач подходит, но для тяжёлых программ слабоват",neutral
